date,open,high,low,close,symbol
2011-07-11,12655.62,12655.84,12470.3,12505.76,DJI
2011-07-11,2380.56006,2392.09009,2354.12012,2362.0,NDX
2011-07-12,12505.54,12570.58,12446.88,12446.88,DJI
2011-07-12,2362.18994,2366.3501,2342.12988,2343.79004,NDX
2011-07-13,12447.33,12611.04,12447.33,12491.61,DJI
2011-07-13,2360.42993,2377.34009,2345.80005,2352.42993,NDX
2011-07-14,12491.53,12581.98,12414.41,12437.12,DJI
2011-07-14,2358.88989,2370.71997,2318.19995,2325.06006,NDX
2011-07-15,12437.12,12504.82,12406.09,12479.73,DJI
2011-07-15,2351.81006,2357.36011,2336.12988,2356.66992,NDX
2011-07-18,12475.11,12475.26,12296.23,12385.16,DJI
2011-07-18,2346.53003,2354.56006,2322.62012,2344.01001,NDX
2011-07-19,12386.03,12607.56,12385.96,12587.42,DJI
2011-07-19,2367.81006,2400.58008,2365.73999,2398.16992,NDX
2011-07-20,12583.68,12603.51,12546.56,12571.91,DJI
2011-07-20,2411.70996,2414.0,2384.5,2387.80005,NDX
2011-07-21,12567.07,12751.43,12566.61,12724.41,DJI
2011-07-21,2389.56006,2417.12988,2377.82007,2404.23999,NDX
2011-07-22,12724.71,12740.87,12644.19,12681.16,DJI
2011-07-22,2403.19995,2432.84009,2402.06006,2429.5,NDX
2011-07-25,12679.72,12679.95,12536.19,12592.8,DJI
2011-07-25,2408.6499,2437.41992,2406.16992,2424.1499,NDX
2011-07-26,12592.12,12593.4,12489.04,12501.3,DJI
2011-07-26,2423.15991,2438.43994,2418.52002,2429.44995,NDX
2011-07-27,12498.42,12498.65,12289.69,12302.55,DJI
2011-07-27,2414.36011,2416.21997,2362.12012,2367.15991,NDX
2011-07-27,401.1499,401.1499,390.40991,391.12988,SOX
2011-07-28,12301.72,12384.9,12226.83,12240.11,DJI
2011-07-28,2367.43994,2401.25,2359.87012,2371.77002,NDX
2011-07-28,390.76001,397.31006,386.62988,390.53003,SOX
2011-07-29,12239.36,12243.07,12083.45,12143.24,DJI
2011-07-29,2349.30005,2388.23999,2341.82007,2362.81006,NDX
2011-07-29,384.47998,390.83008,382.08008,386.93994,SOX
2011-08-01,12144.22,12282.42,11998.08,12132.49,DJI
